neighbourhood,total_listings
Allerton,42
Arden Heights,4
Arrochar,21
Arverne,77
Astoria,900
Bath Beach,17
Battery Park City,70
Bay Ridge,141
Bay Terrace,6
"Bay Terrace, Staten Island",2
Baychester,7
Bayside,39
Bayswater,17
Bedford-Stuyvesant,3714
Belle Harbor,8
Bellerose,14
Belmont,24
Bensonhurst,75
Bergen Beach,10
Boerum Hill,177
Borough Park,136
Breezy Point,3
Briarwood,56
Brighton Beach,75
Bronxdale,19
Brooklyn Heights,154
Brownsville,61
Bull's Head,6
Bushwick,2465
Cambria Heights,26
Canarsie,147
Carroll Gardens,233
Castle Hill,9
Castleton Corners,4
Chelsea,1113
Chinatown,368
City Island,18
Civic Center,52
Claremont Village,28
Clason Point,21
Clifton,15
Clinton Hill,572
Co-op City,2
Cobble Hill,99
College Point,19
Columbia St,42
Concord,26
Concourse,50
Concourse Village,32
Coney Island,17
Corona,64
Crown Heights,1564
Cypress Hills,135
Ditmars Steinway,309
Dongan Hills,7
Douglaston,8
Downtown Brooklyn,83
DUMBO,36
Dyker Heights,12
East Elmhurst,185
East Flatbush,500
East Harlem,1117
East Morrisania,10
East New York,218
East Village,1853
Eastchester,13
Edenwald,13
Edgemere,11
Elmhurst,237
Eltingville,3
Emerson Hill,5
Far Rockaway,29
Fieldston,12
Financial District,744
Flatbush,621
Flatiron District,80
Flatlands,83
Flushing,426
Fordham,63
Forest Hills,144
Fort Greene,489
Fort Hamilton,55
Fort Wadsworth,1
Fresh Meadows,32
Glendale,54
Gowanus,247
Gramercy,338
Graniteville,3
Grant City,6
Gravesend,68
Great Kills,10
Greenpoint,1115
Greenwich Village,392
Grymes Hill,7
Harlem,2658
Hell's Kitchen,1958
Highbridge,27
Hollis,14
Holliswood,4
Howard Beach,20
Howland Hook,2
Huguenot,3
Hunts Point,18
Inwood,252
Jackson Heights,186
Jamaica,231
Jamaica Estates,19
Jamaica Hills,8
Kensington,175
Kew Gardens,32
Kew Gardens Hills,26
Kingsbridge,70
Kips Bay,470
Laurelton,18
Lighthouse Hill,2
Little Italy,121
Little Neck,5
Long Island City,537
Longwood,62
Lower East Side,911
Manhattan Beach,8
Marble Hill,12
Mariners Harbor,8
Maspeth,110
Melrose,10
Middle Village,31
Midland Beach,6
Midtown,1545
Midwood,109
Mill Basin,4
Morningside Heights,346
Morris Heights,17
Morris Park,15
Morrisania,18
Mott Haven,60
Mount Eden,6
Mount Hope,20
Murray Hill,485
Navy Yard,14
Neponsit,3
New Brighton,5
New Dorp,1
New Dorp Beach,5
New Springville,8
NoHo,78
Nolita,253
North Riverdale,10
Norwood,31
Oakwood,5
Olinville,4
Ozone Park,62
Park Slope,506
Parkchester,39
Pelham Bay,17
Pelham Gardens,28
Port Morris,46
Port Richmond,9
Prince's Bay,4
Prospect Heights,357
Prospect-Lefferts Gardens,535
Queens Village,60
Randall Manor,19
Red Hook,79
Rego Park,106
Richmond Hill,94
Richmondtown,1
Ridgewood,423
Riverdale,11
Rockaway Beach,56
Roosevelt Island,77
Rosebank,7
Rosedale,59
Rossville,1
Schuylerville,13
Sea Gate,7
Sheepshead Bay,164
Shore Acres,7
Silver Lake,2
SoHo,358
Soundview,15
South Beach,8
South Ozone Park,40
South Slope,284
Springfield Gardens,85
Spuyten Duyvil,4
St. Albans,76
St. George,48
Stapleton,27
Stuyvesant Town,37
Sunnyside,363
Sunset Park,390
Theater District,288
Throgs Neck,24
Todt Hill,4
Tompkinsville,42
Tottenville,7
Tremont,11
Tribeca,177
Two Bridges,72
Unionport,7
University Heights,21
Upper East Side,1798
Upper West Side,1971
Van Nest,11
Vinegar Hill,34
Wakefield,50
Washington Heights,899
West Brighton,18
West Farms,2
West Village,768
Westchester Square,10
Westerleigh,2
Whitestone,11
Williamsbridge,40
Williamsburg,3920
Willowbrook,1
Windsor Terrace,157
Woodhaven,88
Woodlawn,11
Woodrow,1
Woodside,235
