Measurement date,Station code,Address Number,Street,Space,Region,City,Country,Latitude,Longitude,SO2,NO2,O3,CO,PM10,PM2.5
2019-12-01T00:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.039,0.009000000000000001,0.6,33,25
2019-12-01T01:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.034,0.012,0.5,29,22
2019-12-01T02:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.03,0.013,0.5,25,18
2019-12-01T03:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.039,0.006,0.6,24,17
2019-12-01T04:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.049,0.002,0.8,28,25
2019-12-01T05:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.05,0.002,0.8,35,27
2019-12-01T06:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.05,0.002,0.8,36,27
2019-12-01T07:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.005,0.048,0.002,0.8,34,28
2019-12-01T08:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.049,0.002,0.8,39,32
2019-12-01T09:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.05,0.002,1,41,31
2019-12-01T10:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.05,0.004,0.9,42,33
2019-12-01T11:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.049,0.005,0.9,45,37
2019-12-01T12:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.048,0.005,0.9,51,40
2019-12-01T13:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.048,0.004,0.8,52,45
2019-12-01T14:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.05,0.003,0.9,53,46
2019-12-02T03:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.008,0.022,0.4,25,19
2019-12-02T04:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.009000000000000001,0.021,0.4,21,15
2019-12-02T05:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.015,0.018000000000000002,0.4,21,14
2019-12-02T06:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.002,0.022,0.013,0.5,18,13
2019-12-02T07:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.031,0.006999999999999999,0.5,20,13
2019-12-02T08:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.027000000000000003,0.011,0.5,19,13
2019-12-02T09:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.022,0.016,0.4,22,13
2019-12-02T10:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.016,0.021,0.4,24,15
2019-12-02T11:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.015,0.022,0.4,20,11
2019-12-02T12:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.013,0.024,0.4,18,10
2019-12-02T13:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.014,0.025,0.4,23,15
2019-12-02T14:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.005,0.014,0.024,0.5,28,23
2019-12-02T15:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.005,0.017,0.02,0.5,29,20
2019-12-02T16:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.017,0.02,0.4,26,19
2019-12-02T17:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.019,0.019,0.5,14,10
2019-12-02T18:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.016,0.019,0.5,12,9
2019-12-02T19:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.014,0.021,0.4,12,9
2019-12-02T20:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.014,0.021,0.4,14,8
2019-12-02T21:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.004,0.016,0.019,0.4,11,8
2019-12-02T22:00:00Z,101,19, Jong-ro 35ga-gil,,Jongno-gu, Seoul, Republic of Korea,37.5720164,127.0050075,0.003,0.017,0.017,0.4,15,7
